,Actual,Predicted
286,[1.6  4.   0.97],[1.5879495 3.9951038 1.001491 ]
287,[4.   4.   1.17],[4.0164275 4.0880136 1.3655403]
288,[4.   4.   0.97],[4.0324173 4.058295  1.3828933]
289,[3.2  1.6  0.37],[3.067288   1.6915851  0.44007063]
290,[4.   0.8  0.37],[3.9979072  0.8012832  0.32120097]
291,[2.4  4.   1.77],[2.4079797 4.0626707 1.8772354]
292,[4.   2.4  1.57],[3.9987564 2.4170623 1.2924614]
293,[2.4  3.2  0.77],[2.4251726 3.2253067 0.790495 ]
294,[1.6  4.   1.77],[1.5913267 4.0157995 1.7775519]
295,[0.8  3.2  1.97],[0.9785999 3.1223536 1.9291326]
296,[2.4  2.4  0.77],[2.4469664 2.3906903 0.5217419]
297,[2.4  2.4  1.57],[2.4316084 2.407165  2.0006073]
298,[0.8  4.   1.57],[0.7863897 4.0187283 1.4765724]
299,[3.2  0.8  1.77],[3.2099001  0.74615073 1.737687  ]
300,[1.6  0.8  1.77],[1.6012971  0.80407166 1.7637825 ]
301,[2.4  3.2  0.37],[2.3948061  3.2338767  0.53865117]
302,[3.2  1.6  1.37],[3.1866667 1.5810525 1.4268944]
303,[3.2  2.4  0.97],[3.2210114 2.4333782 0.9230323]
304,[3.2  2.4  0.97],[3.1830008 2.4410603 0.9589358]
305,[2.4  4.   0.57],[2.4236157  4.0591383  0.55492216]
306,[2.4  2.4  0.57],[2.4130077  2.3965278  0.44370824]
307,[4.   2.4  1.37],[4.0017257 2.438922  1.330649 ]
308,[3.2  0.8  1.57],[3.197045  0.796991  1.6022943]
309,[0.8  3.2  0.57],[0.76616275 3.221379   0.28557718]
310,[0.8  0.8  2.17],[0.7988275 0.813867  2.1248405]
311,[3.2  1.6  0.77],[3.1670835 1.6345751 0.8906725]
312,[0.8  0.8  1.97],[0.7866821 0.830873  1.8614405]
313,[3.2  1.6  0.17],[3.1863592  1.582021   0.20642756]
